obs,time,deployment,conductivity,SSP,Depth ,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('58',)",3748835214,11,3.569050074,1484.660154,70.61013493,3767111115,3767111252,3748835214,0,internal_timestamp,71.10700226,1539846414,33.7745018,0,8.651100159,1026.541051,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('59',)",3748835214,11,3.569080114,1484.660744,70.60814101,3767111115,3767111252,3748835214,0,internal_timestamp,71.10500336,1539846414,33.77470016,0,8.651200294,1026.541181,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('60',)",3748835214,11,3.569099903,1484.660992,70.60813033,3767111115,3767111252,3748835214,0,internal_timestamp,71.10500336,1539846414,33.77489853,0,8.651200294,1026.541337,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('61',)",3748835214,11,3.569109917,1484.661526,70.61011015,3767111115,3767111252,3748835214,0,internal_timestamp,71.10700226,1539846414,33.77500153,0,8.65130043,1026.541411,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('62',)",3748835215,11,3.56911993,1484.661558,70.61209446,3767111115,3767111252,3748835215,0,internal_timestamp,71.10900116,1539846415,33.77500153,0,8.65130043,1026.54142,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('63',)",3748835215,11,3.569109917,1484.661735,70.60813246,3767111115,3767111252,3748835215,0,internal_timestamp,71.10500336,1539846415,33.77489853,0,8.651399612,1026.541306,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('64',)",3748835215,11,3.569109917,1484.661719,70.60713273,3767111115,3767111252,3748835215,0,internal_timestamp,71.10399628,1539846415,33.77489853,0,8.651399612,1026.541301,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('65',)",3748835215,11,3.569099903,1484.661563,70.60515377,3767111115,3767111252,3748835215,0,internal_timestamp,71.10199738,1539846415,33.77479935,0,8.651399612,1026.541214,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('66',)",3748835215,11,3.569080114,1484.661283,70.60318015,3767111115,3767111252,3748835215,0,internal_timestamp,71.09999847,1539846415,33.77460098,0,8.651399612,1026.54105,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('67',)",3748835215,11,3.569070101,1484.661061,70.60517534,3767111115,3767111252,3748835215,0,internal_timestamp,71.10199738,1539846415,33.7743988,0,8.651399612,1026.540901,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('68',)",3748835215,11,3.569060087,1484.660889,70.60220423,3767111115,3767111252,3748835215,0,internal_timestamp,71.09899902,1539846415,33.77429962,0,8.651399612,1026.540809,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('69',)",3748835215,11,3.569070101,1484.660982,70.60021458,3767111115,3767111252,3748835215,0,internal_timestamp,71.09700012,1539846415,33.7743988,0,8.651399612,1026.540878,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('70',)",3748835215,11,3.569080114,1484.661468,70.59921795,3767111115,3767111252,3748835215,0,internal_timestamp,71.09600067,1539846415,33.7745018,0,8.651499748,1026.540938,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('71',)",3748835215,11,3.569080114,1484.661047,70.59624042,3767111115,3767111252,3748835215,0,internal_timestamp,71.09300232,1539846415,33.7745018,0,8.651399612,1026.54094,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('72',)",3748835215,11,3.569070101,1484.661031,70.59524827,3767111115,3767111252,3748835215,0,internal_timestamp,71.09200287,1539846415,33.7745018,0,8.651399612,1026.540936,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('73',)",3748835215,11,3.569070101,1484.660855,70.59226978,3767111115,3767111252,3748835215,0,internal_timestamp,71.08899689,1539846415,33.7743988,0,8.651399612,1026.540841,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('74',)",3748835215,11,3.569070101,1484.660839,70.59127763,3767111115,3767111252,3748835215,0,internal_timestamp,71.08799744,1539846415,33.7743988,0,8.651399612,1026.540837,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('75',)",3748835215,11,3.569080114,1484.661013,70.58630598,3767111115,3767111252,3748835215,0,internal_timestamp,71.08300018,1539846415,33.77460098,0,8.651399612,1026.540972,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('76',)",3748835215,11,3.569080114,1484.660611,70.58432061,3767111115,3767111252,3748835215,0,internal_timestamp,71.08100128,1539846415,33.77460098,0,8.65130043,1026.540978,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('77',)",3748835215,11,3.569060087,1484.660424,70.58035734,3767111115,3767111252,3748835215,0,internal_timestamp,71.07700348,1539846415,33.7745018,0,8.65130043,1026.540882,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('78',)",3748835216,11,3.569050074,1484.660492,70.57738526,3767111115,3767111252,3748835216,0,internal_timestamp,71.0739975,1539846416,33.77429962,0,8.651399612,1026.540695,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('79',)",3748835216,11,3.56904006,1484.660601,70.57640485,3767111115,3767111252,3748835216,0,internal_timestamp,71.07299805,1539846416,33.77410126,0,8.651499748,1026.540519,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('80',)",3748835216,11,3.56904006,1484.66111,70.57741004,3767111115,3767111252,3748835216,0,internal_timestamp,71.0739975,1539846416,33.77389908,0,8.65170002,1026.540334,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('81',)",3748835216,11,3.569050074,1484.661419,70.57344249,3767111115,3767111252,3748835216,0,internal_timestamp,71.06999969,1539846416,33.77389908,0,8.651800156,1026.540301,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('82',)",3748835216,11,3.569060087,1484.661589,70.56848813,3767111115,3767111252,3748835216,0,internal_timestamp,71.06500244,1539846416,33.7737999,0,8.651900291,1026.540184,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('83',)",3748835216,11,3.569050074,1484.661774,70.56451836,3767111115,3767111252,3748835216,0,internal_timestamp,71.06099701,1539846416,33.77370071,0,8.652000427,1026.540073,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('84',)",3748835216,11,3.56904006,1484.66206,70.55957594,3767111115,3767111252,3748835216,0,internal_timestamp,71.05599976,1539846416,33.77339935,0,8.652199745,1026.539783,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
